,AUC ROC,Algorithm,Avg. Precision,Fold,Time
206,0.6030616850568385,"node2vec [dim=13, p=2.0, q=2.0, t=5",0.4316398684811412,5,482.58887807300204
207,0.6072072136947483,"node2vec [dim=13, p=2.0, q=2.0, t=5 + topics",0.4370931990061835,5,493.4684036260005
208,0.5954032641704669,"node2vec [dim=128, p=0.5, q=0.5, t=5",0.4281273207135197,5,502.73789104000025
209,0.5912746639974179,"node2vec [dim=128, p=0.5, q=0.5, t=5 + topics",0.4236955319441651,5,559.4433228879934
210,0.5971097555354155,"node2vec [dim=128, p=0.5, q=1.0, t=5",0.4320995694745981,5,525.6685864689936
211,0.5987298750018881,"node2vec [dim=128, p=0.5, q=1.0, t=5 + topics",0.4309060588632127,5,554.3327158770118
212,0.5963365462784441,"node2vec [dim=128, p=0.5, q=2.0, t=5",0.43171849005298907,5,522.0328492459957
213,0.5981308816580257,"node2vec [dim=128, p=0.5, q=2.0, t=5 + topics",0.4320215299713028,5,556.2355726660171
214,0.5928976733806142,"node2vec [dim=128, p=1.0, q=0.5, t=5",0.4258994692613131,5,505.3493802979938
215,0.5933510250615748,"node2vec [dim=128, p=1.0, q=0.5, t=5 + topics",0.4265575095921913,5,540.2729183329793
216,0.5985916674490435,"node2vec [dim=128, p=1.0, q=1.0, t=5",0.4331468108702231,5,521.9684909810021
217,0.5951882915320331,"node2vec [dim=128, p=1.0, q=1.0, t=5 + topics",0.4286498300412371,5,548.8222215580172
218,0.5933740951735084,"node2vec [dim=128, p=1.0, q=2.0, t=5",0.426695355191742,5,524.443268173025
219,0.6007952437833013,"node2vec [dim=128, p=1.0, q=2.0, t=5 + topics",0.43506734212615294,5,549.1033637250075
220,0.5976768997789655,"node2vec [dim=128, p=2.0, q=0.5, t=5",0.4297966129000208,5,502.26535062197945
221,0.5914736660309303,"node2vec [dim=128, p=2.0, q=0.5, t=5 + topics",0.4254723059355941,5,552.2517894060002
222,0.5913545967271201,"node2vec [dim=128, p=2.0, q=1.0, t=5",0.4255526692021205,5,510.3791188230098
223,0.6011490755505362,"node2vec [dim=128, p=2.0, q=1.0, t=5 + topics",0.4334392048150831,5,545.533852980996
224,0.596137513207451,"node2vec [dim=128, p=2.0, q=2.0, t=5",0.42999616211425934,5,512.5906407849981
225,0.6010305294763651,"node2vec [dim=128, p=2.0, q=2.0, t=5 + topics",0.4349113485586287,5,562.6693225490162
226,0.5956243594006494,Our model,0.42973025260608205,5,82.85630819201471
